Job Title,Location,Salary_Raw,Job_Description_HTML,Posted_Date,Job_Url
D365 F&O Consultant,Bangalore,98 USD/hr,"We <br>are<br> looking <div>for<p> a skilled professional to &amp;join&amp; our team. You should have experience &nbsp;with<div> Canvas Apps, React, Power Automate, Business Central. Role involves building solutions on the Microsoft <p>Stack.&amp;",2 days ago,https://gigs.tech/job/2348
ms dynamics 365 techno-functional,Texas,,"<br>We&nbsp; are looking for a <br>skilled<div> professional &nbsp;to<strong> join our team. You should have &nbsp;experience<strong> with Canvas Apps, Power Automate, Azure Functions. Role involves building solutions on the Microsoft Stack.",2025-11-28,https://gigs.tech/job/2044
SharePoint & Power Platform Specialist,N/A,,"We are <p>looking</span> for a skilled &nbsp;professional&nbsp; to join our team. You &amp;should&amp; have experience with JavaScript, Business Central, </span>TypeScript,&nbsp; Power Pages. Role involves building solutions on the Microsoft Stack.",2025-12-07,https://gigs.tech/job/6486
Microsoft PowerApps Dev,"London, UK",Competitive,"We are looking for a skilled professional to join <br>our<p> team. You should have <br>experience<p> with Dataverse, Power &nbsp;Automate,&nbsp; Copilot Studio. Role involves building solutions on the <p>Microsoft<br> Stack.",2025-11-20,https://gigs.tech/job/7249
Dynamics 365 CE/Sales Developer,Bangalore,,"&nbsp;We<div> are <div>looking&nbsp; for a skilled professional to join our team. You should have experience with Power <p>Automate,&amp; Azure Functions, <div>Business&amp; Central, Copilot Studio, SQL. Role involves building solutions </span>on</span> the Microsoft &nbsp;Stack.<p>",2025-12-12,https://gigs.tech/job/6345
Dynamics 365 CE/Sales Developer,Bangalore,,"&nbsp;We<div> are <div>looking&nbsp; for a skilled professional to join our team. You should have experience with Power <p>Automate,&amp; Azure Functions, <div>Business&amp; Central, Copilot Studio, SQL. Role involves building solutions </span>on</span> the Microsoft &nbsp;Stack.<p>",2025-12-12,https://gigs.tech/job/6345
SharePoint & Power Platform Specialist,Texas,96 USD/hr,"We are looking for a skilled professional to <div>join<div> our team. You should have experience with Dynamics 365 Sales, PCF Controls, TypeScript, Copilot Studio, Model-driven Apps. Role <p>involves&amp; building &amp;solutions&nbsp; on the Microsoft Stack. &amp;Compensation:</span> $100k <strong>base&amp; + bonus.",2025-11-25,https://gigs.tech/job/9363
SharePoint & Power Platform Specialist,Texas,96 USD/hr,"We are looking for a skilled professional to <div>join<div> our team. You should have experience with Dynamics 365 Sales, PCF Controls, TypeScript, Copilot Studio, Model-driven Apps. Role <p>involves&amp; building &amp;solutions&nbsp; on the Microsoft Stack. &amp;Compensation:</span> $100k <strong>base&amp; + bonus.",2025-11-25,https://gigs.tech/job/9363
Dynamics 365 CE/Sales Developer,United States (Remote),$81k - $185k,"We are looking <div>for<p> <br>a&amp; skilled professional to join &nbsp;our<div> team. You should have experience with Copilot Studio, JavaScript. Role involves <br>building<br> solutions on the Microsoft Stack.",2 days ago,https://gigs.tech/job/3879
AI/COPILOT INTEGRATION SPECIALIST,"New York, NY",,"We are looking for a <div>skilled<p> professional <p>to<p> join our team. You should have experience with React, Dataverse, Power Automate, Business Central, &amp;Dynamics</span> 365 Sales. Role involves building solutions on the </span>Microsoft<br> Stack. Pay is commensurate with experience.",2025-11-18,https://gigs.tech/job/9378
AI/COPILOT INTEGRATION SPECIALIST,"New York, NY",,"We are looking for a <div>skilled<p> professional <p>to<p> join our team. You should have experience with React, Dataverse, Power Automate, Business Central, &amp;Dynamics</span> 365 Sales. Role involves building solutions on the </span>Microsoft<br> Stack. Pay is commensurate with experience.",2025-11-18,https://gigs.tech/job/9378
SharePoint & Power Platform Specialist,Hybrid - Chicago,,"We are looking for a skilled professional to join our team. </span>You</span> should have experience &amp;with&amp; JavaScript, C# <strong>Plugin<br> Dev. Role involves <br>building<p> solutions on the Microsoft Stack.",2025-12-08,https://gigs.tech/job/5204
MS Dynamics 365 Techno-Functional,"Toronto, ON",$153k - $191k,"&nbsp;We<div> are looking for a <p>skilled<div> professional to join our &nbsp;team.<strong> You should <div>have<br> experience with Model-driven Apps, C# Plugin Dev, Power <br>Pages.</span> Role involves building solutions on the Microsoft Stack.",2025-11-26,https://gigs.tech/job/4178
Dynamics 365 Developer,Texas,88 USD/hr,"We are <br>looking<strong> for a skilled professional to join our team. You should have experience with <strong>Model-driven<div> Apps, C# Plugin <br>Dev,<p> Dataverse, Copilot Studio. Role <div>involves<p> building solutions <div>on&nbsp; </span>the<p> Microsoft Stack. Pay is commensurate </span>with<div> experience.",2025-11-30,https://gigs.tech/job/7221
Power BI Data Analyst,"London, UK",,"We are looking </span>for<br> a skilled professional to join our team. You should &amp;have<br> experience with Canvas Apps, </span>Dynamics<br> 365 Sales. Role <strong>involves<strong> building solutions on the Microsoft <br>Stack.<p> Daily rate: $500 - $650.",2025-12-08,https://gigs.tech/job/4622
DYNAMICS 365 CE/SALES DEVELOPER,United States (Remote),,"We &amp;are<div> looking for a skilled professional to </span>join</span> our team. You should have experience with Canvas Apps, Power Automate, JavaScript, </span>React,<p> Copilot </span>Studio.<br> <p>Role&amp; involves building solutions on the Microsoft Stack.",2025-11-18,https://gigs.tech/job/2610
MS Dynamics 365 Techno-Functional,N/A,Competitive,"We are looking for a skilled professional to join our team. You should have experience <div>with</span> <strong>JavaScript,<p> <div>Azure&amp; Functions, <div>SQL,<div> Power Automate. Role involves building solutions on the Microsoft Stack.",2025-11-29,https://gigs.tech/job/3656
MS Dynamics 365 Techno-Functional,N/A,Competitive,"We are looking for a skilled professional to join our team. You should have experience <div>with</span> <strong>JavaScript,<p> <div>Azure&amp; Functions, <div>SQL,<div> Power Automate. Role involves building solutions on the Microsoft Stack.",2025-11-29,https://gigs.tech/job/3656
Dynamics 365 Developer,Hybrid - Chicago,Competitive,"We are looking for a skilled <div>professional&nbsp; to join our team. You should have experience with React, JavaScript, C# Plugin Dev. Role involves building solutions <div>on<br> <div>the<p> Microsoft Stack. Compensation: <strong>$100k<strong> base + &amp;bonus.<br>",2025-11-17,https://gigs.tech/job/3699
SharePoint & Power Platform Specialist,United States (Remote),Competitive,"We </span>are<br> looking for a skilled <strong>professional<br> to <br>join<br> <br>our<br> team. You should have experience with <div>JavaScript,<strong> SQL, Dynamics 365 Sales, Copilot <div>Studio.<p> Role involves building solutions on &nbsp;the<strong> Microsoft Stack. Competitive hourly rate of $60-80/hr.",2025-11-26,https://gigs.tech/job/1972
